Compound_Name,Carbon_Number,RT
Undecane,11,453.405
Dodecane,12,600.36
Tridecane,13,754.125
Tetradecane,14,906.63
Pentadecane,15,1054.83
Hexadecane,16,1196.235
Heptadecane,17,1331.4
Octadecane,18,1460.28
Nonadecane,19,1583.925
Eicosane,20,1728.795
Uncosane,21,1920.015
Docosane,22,2179.62
Tricosane,23,2396.91
Tetracosane,24,2550.345
Pentacosane,25,2673.435
Hexacosane,26,2778.555
Heptacosane,27,2871.135
Octacosane,28,2955.435
Nonacosane,29,3033.225
Triacontane,30,3106.845
Hentriacontane,31,3176.13
Dotriacontane,32,3250.905
Tritriacontane,33,3336.255
